    pL,                   dL,                      pR,              dR,                     du,                     PI,                DIL,          DIR
      0.001000        0.001000        0.999000        0.999000       -2.500000        0.026413        0.004920        0.113007
      0.001000        0.001000        0.999000        0.999000       -2.400000        0.025484        0.004888        0.110607
      0.001000        0.001000        0.999000        0.999000       -2.300000        0.024575        0.004855        0.108222
      0.001000        0.001000        0.999000        0.999000       -2.200000        0.023684        0.004821        0.105852
      0.001000        0.001000        0.999000        0.999000       -2.100000        0.022813        0.004785        0.103497
      0.001000        0.001000        0.999000        0.999000       -2.000000        0.021960        0.004748        0.101159
      0.001000        0.001000        0.999000        0.999000       -1.900000        0.021126        0.004710        0.098837
      0.001000        0.001000        0.999000        0.999000       -1.800000        0.020311        0.004670        0.096531
      0.001000        0.001000        0.999000        0.999000       -1.700000        0.019515        0.004628        0.094242
      0.001000        0.001000        0.999000        0.999000       -1.600000        0.018737        0.004585        0.091971
      0.001000        0.001000        0.999000        0.999000       -1.500000        0.017977        0.004540        0.089717
      0.001000        0.001000        0.999000        0.999000       -1.400000        0.017237        0.004494        0.087480
      0.001000        0.001000        0.999000        0.999000       -1.300000        0.016514        0.004445        0.085262
      0.001000        0.001000        0.999000        0.999000       -1.200000        0.015810        0.004395        0.083063
      0.001000        0.001000        0.999000        0.999000       -1.100000        0.015124        0.004343        0.080882
      0.001000        0.001000        0.999000        0.999000       -1.000000        0.014457        0.004289        0.078721
      0.001000        0.001000        0.999000        0.999000       -0.900000        0.013807        0.004233        0.076580
      0.001000        0.001000        0.999000        0.999000       -0.800000        0.013176        0.004175        0.074459
      0.001000        0.001000        0.999000        0.999000       -0.700000        0.012562        0.004114        0.072358
      0.001000        0.001000        0.999000        0.999000       -0.600000        0.011966        0.004052        0.070279
      0.001000        0.001000        0.999000        0.999000       -0.500000        0.011388        0.003987        0.068222
      0.001000        0.001000        0.999000        0.999000       -0.400000        0.010827        0.003920        0.066187
      0.001000        0.001000        0.999000        0.999000       -0.300000        0.010284        0.003851        0.064175
      0.001000        0.001000        0.999000        0.999000       -0.200000        0.009758        0.003779        0.062186
      0.001000        0.001000        0.999000        0.999000       -0.100000        0.009250        0.003705        0.060221
      0.001000        0.001000        0.999000        0.999000        0.000000        0.008758        0.003628        0.058280
      0.001000        0.001000        0.999000        0.999000        0.100000        0.008284        0.003550        0.056365
      0.001000        0.001000        0.999000        0.999000        0.200000        0.007826        0.003469        0.054475
      0.001000        0.001000        0.999000        0.999000        0.300000        0.007385        0.003385        0.052612
      0.001000        0.001000        0.999000        0.999000        0.400000        0.006960        0.003299        0.050776
      0.001000        0.001000        0.999000        0.999000        0.500000        0.006552        0.003212        0.048968
      0.001000        0.001000        0.999000        0.999000        0.600000        0.006160        0.003122        0.047188
      0.001000        0.001000        0.999000        0.999000        0.700000        0.005784        0.003030        0.045438
      0.001000        0.001000        0.999000        0.999000        0.800000        0.005423        0.002936        0.043718
      0.001000        0.001000        0.999000        0.999000        0.900000        0.005079        0.002841        0.042029
      0.001000        0.001000        0.999000        0.999000        1.000000        0.004749        0.002744        0.040371
      0.001000        0.001000        0.999000        0.999000        1.100000        0.004435        0.002646        0.038746
      0.001000        0.001000        0.999000        0.999000        1.200000        0.004135        0.002547        0.037154
      0.001000        0.001000        0.999000        0.999000        1.300000        0.003850        0.002447        0.035596
      0.001000        0.001000        0.999000        0.999000        1.400000        0.003580        0.002346        0.034073
      0.001000        0.001000        0.999000        0.999000        1.500000        0.003323        0.002246        0.032586
      0.001000        0.001000        0.999000        0.999000        1.600000        0.003080        0.002145        0.031136
      0.001000        0.001000        0.999000        0.999000        1.700000        0.002850        0.002045        0.029722
      0.001000        0.001000        0.999000        0.999000        1.800000        0.002634        0.001946        0.028347
      0.001000        0.001000        0.999000        0.999000        1.900000        0.002430        0.001848        0.027010
      0.001000        0.001000        0.999000        0.999000        2.000000        0.002239        0.001752        0.025712
      0.001000        0.001000        0.999000        0.999000        2.100000        0.002059        0.001657        0.024454
      0.001000        0.001000        0.999000        0.999000        2.200000        0.001891        0.001565        0.023236
      0.001000        0.001000        0.999000        0.999000        2.300000        0.001734        0.001475        0.022059
      0.001000        0.001000        0.999000        0.999000        2.400000        0.001588        0.001387        0.020922
      0.001000        0.001000        0.999000        0.999000        2.500000        0.001451        0.001303        0.019826
      0.001000        0.001000        0.999000        0.999000        2.600000        0.001325        0.001222        0.018771
      0.001000        0.001000        0.999000        0.999000        2.700000        0.001208        0.001144        0.017757
      0.001000        0.001000        0.999000        0.999000        2.800000        0.001099        0.001070        0.016783
      0.001000        0.001000        0.999000        0.999000        2.900000        0.000999        0.000999        0.015848
      0.001000        0.001000        0.999000        0.999000        3.000000        0.000907        0.000933        0.014953
      0.001000        0.001000        0.999000        0.999000        3.100000        0.000822        0.000869        0.014096
      0.001000        0.001000        0.999000        0.999000        3.200000        0.000744        0.000809        0.013276
      0.001000        0.001000        0.999000        0.999000        3.300000        0.000672        0.000753        0.012493
      0.001000        0.001000        0.999000        0.999000        3.400000        0.000606        0.000699        0.011744
      0.001000        0.001000        0.999000        0.999000        3.500000        0.000546        0.000649        0.011029
      0.001000        0.001000        0.999000        0.999000        3.600000        0.000491        0.000602        0.010347
      0.001000        0.001000        0.999000        0.999000        3.700000        0.000441        0.000557        0.009697
      0.001000        0.001000        0.999000        0.999000        3.800000        0.000395        0.000515        0.009078
      0.001000        0.001000        0.999000        0.999000        3.900000        0.000353        0.000475        0.008488
      0.001000        0.001000        0.999000        0.999000        4.000000        0.000315        0.000438        0.007928
      0.001000        0.001000        0.999000        0.999000        4.100000        0.000280        0.000403        0.007396
      0.001000        0.001000        0.999000        0.999000        4.200000        0.000249        0.000371        0.006891
      0.001000        0.001000        0.999000        0.999000        4.300000        0.000221        0.000340        0.006412
      0.001000        0.001000        0.999000        0.999000        4.400000        0.000196        0.000312        0.005958
      0.001000        0.001000        0.999000        0.999000        4.500000        0.000173        0.000285        0.005529
      0.001000        0.001000        0.999000        0.999000        4.600000        0.000152        0.000260        0.005123
      0.001000        0.001000        0.999000        0.999000        4.700000        0.000134        0.000237        0.004740
      0.001000        0.001000        0.999000        0.999000        4.800000        0.000117        0.000216        0.004378
      0.001000        0.001000        0.999000        0.999000        4.900000        0.000102        0.000196        0.004038
      0.001000        0.001000        0.999000        0.999000        5.000000        0.000089        0.000178        0.003718
      0.001000        0.001000        0.999000        0.999000        5.100000        0.000077        0.000161        0.003417
      0.001000        0.001000        0.999000        0.999000        5.200000        0.000067        0.000145        0.003134
      0.001000        0.001000        0.999000        0.999000        5.300000        0.000058        0.000131        0.002870
      0.001000        0.001000        0.999000        0.999000        5.400000        0.000050        0.000117        0.002622
      0.001000        0.001000        0.999000        0.999000        5.500000        0.000043        0.000105        0.002391
      0.001000        0.001000        0.999000        0.999000        5.600000        0.000036        0.000094        0.002175
      0.001000        0.001000        0.999000        0.999000        5.700000        0.000031        0.000084        0.001974
      0.001000        0.001000        0.999000        0.999000        5.800000        0.000026        0.000074        0.001788
      0.001000        0.001000        0.999000        0.999000        5.900000        0.000022        0.000066        0.001614
      0.001000        0.001000        0.999000        0.999000        6.000000        0.000019        0.000058        0.001454
      0.001000        0.001000        0.999000        0.999000        6.100000        0.000016        0.000051        0.001306
      0.001000        0.001000        0.999000        0.999000        6.200000        0.000013        0.000045        0.001170
      0.001000        0.001000        0.999000        0.999000        6.300000        0.000011        0.000039        0.001044
      0.001000        0.001000        0.999000        0.999000        6.400000        0.000009        0.000034        0.000929
      0.001000        0.001000        0.999000        0.999000        6.500000        0.000007        0.000030        0.000823
      0.001000        0.001000        0.999000        0.999000        6.600000        0.000006        0.000025        0.000727
      0.001000        0.001000        0.999000        0.999000        6.700000        0.000005        0.000022        0.000640
      0.001000        0.001000        0.999000        0.999000        6.800000        0.000004        0.000019        0.000560
      0.001000        0.001000        0.999000        0.999000        6.900000        0.000003        0.000016        0.000488
      0.001000        0.001000        0.999000        0.999000        7.000000        0.000002        0.000013        0.000424
      0.001000        0.001000        0.999000        0.999000        7.100000        0.000002        0.000011        0.000366
      0.001000        0.001000        0.999000        0.999000        7.200000        0.000001        0.000009        0.000314
      0.001000        0.001000        0.999000        0.999000        7.300000        0.000001        0.000008        0.000268
      0.001000        0.001000        0.999000        0.999000        7.400000        0.000001        0.000006        0.000227
      0.001000        0.001000        0.999000        0.999000        7.500000        0.000001        0.000005        0.000191
      0.001000        0.001000        0.999000        0.999000        7.600000        0.000000        0.000004        0.000159
      0.001000        0.001000        0.999000        0.999000        7.700000        0.000000        0.000003        0.000132
      0.001000        0.001000        0.999000        0.999000        7.800000        0.000000        0.000003        0.000108
      0.001000        0.001000        0.999000        0.999000        7.900000        0.000000        0.000002        0.000088
      0.001000        0.001000        0.999000        0.999000        8.000000        0.000000        0.000002        0.000070
      0.001000        0.001000        0.999000        0.999000        8.100000        0.000000        0.000001        0.000056
      0.001000        0.001000        0.999000        0.999000        8.200000        0.000000        0.000001        0.000043
      0.001000        0.001000        0.999000        0.999000        8.300000        0.000000        0.000001        0.000033
